,,Accuracy,Precision,Time
RF,RGB,0.2987,0.2989,2.71
RF,Gray scale,0.28334,0.28276,2.77
RF,CIELAB,0.3098,0.3108,2.846
RF,YCbCr,0.30766,0.30742,2.74
ResNet,RGB,0.4257,0.42106,4722.258
ResNet,Gray scale,0.35998,0.34418,4291.672
ResNet,CIELAB,0.434325,0.426825,6242.605
ResNet,YCbCr,0.42206,0.41586,5871.55
Mobilenet,RGB,0.7195,0.71876,2775.714
Mobilenet,Gray scale,0.69772,0.69768,3190.044
Mobilenet,CIELAB,0.7173,0.72056,3230.632
Mobilenet,YCbCr,0.72356,0.72232,4066.366
Efficientnet,RGB,0.76714,0.77106,2308.606
Efficientnet,Gray scale,0.75626,0.7556,2055.196
Efficientnet,CIELAB,0.7778,0.78066,2966.74
Efficientnet,YCbCr,0.78244,0.7846,3045.894
